SLAMBench Report run started:	2020-03-03 11:07:22

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter0/ICL2-KF-DEP-00000.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
29	1.1200000000	0.0027224279	0.0024681133	0.0055015511	0.0027849895	0.8118210000	0.0536790000	0.0583490000	0.0316840000	0.3319110000	0.3361490000	0	0	209321984	3.9388141632	4.0020322800	3.9917833805
30	1.1600000000	0.0029723723	0.0024849219	0.0055015511	0.0027877223	0.4417020000	0.0536950000	0.0522010000	0.0000000000	0.3338280000	0.0019320000	0	0	209321984	3.9293599129	4.0014410019	3.9938361645
31	1.2000000000	0.0028923196	0.0024980638	0.0055015511	0.0027640898	0.4777420000	0.0527750000	0.0607390000	0.0317940000	0.3304550000	0.0019330000	0	0	209321984	3.9227764606	4.0022115707	3.9920413494
32	1.2400000000	0.0029370915	0.0025117834	0.0055015511	0.0027640858	0.4412040000	0.0525430000	0.0518080000	0.0000010000	0.3348680000	0.0019390000	0	0	209321984	3.9160673618	4.0025391579	3.9897453785
33	1.2800000000	0.0029342324	0.0025245849	0.0055015511	0.0028064623	0.8114420000	0.0531190000	0.0519730000	0.0317410000	0.3329880000	0.3415730000	0	0	209321984	3.9104619026	4.0022311211	3.9895095825
34	1.3200000000	0.0028950730	0.0025354816	0.0055015511	0.0027797242	0.4418570000	0.0525770000	0.0521060000	0.0000010000	0.3352230000	0.0019030000	0	0	209321984	3.8820011616	4.0016937256	3.9892096519
35	1.3600000000	0.0030741547	0.0025508723	0.0055015511	0.0030460693	0.4725290000	0.0536150000	0.0499520000	0.0318710000	0.3351640000	0.0018780000	0	0	209321984	3.8787074089	4.0025601387	3.9865641594
36	1.4000000000	0.0030332129	0.0025642706	0.0055015511	0.0035562982	0.4416730000	0.0536610000	0.0522230000	0.0000010000	0.3338050000	0.0019370000	0	0	209321984	3.8730514050	4.0033059120	3.9847660065
37	1.4400000000	0.0030157461	0.0025764726	0.0055015511	0.0035938777	0.8171450000	0.0536710000	0.0587130000	0.0318670000	0.3340010000	0.3388430000	0	0	209321984	3.8621103764	4.0013189316	3.9860284328
38	1.4800000000	0.0032005347	0.0025928953	0.0055015511	0.0035536177	0.4442870000	0.0536490000	0.0541630000	0.0000010000	0.3345100000	0.0019140000	0	0	209321984	3.8505403996	4.0007658005	3.9867577553
39	1.5200000000	0.0032575962	0.0026099389	0.0055015511	0.0035108798	0.4647320000	0.0533960000	0.0427470000	0.0319250000	0.3346910000	0.0019240000	0	0	209321984	3.8474044800	4.0001392365	3.9834115505
40	1.5600000000	0.0033195622	0.0026276795	0.0055015511	0.0034941276	0.4343600000	0.0536540000	0.0429110000	0.0000000000	0.3358070000	0.0019370000	0	0	209321984	3.8375029564	3.9985287189	3.9840970039
41	1.6000000000	0.0033402247	0.0026450587	0.0055015511	0.0035145879	0.8154760000	0.0537090000	0.0536620000	0.0318580000	0.3349090000	0.3412870000	0	0	209321984	3.8271043301	3.9974167347	3.9858510494
42	1.6400000000	0.0033453396	0.0026617320	0.0055015511	0.0034757774	0.4363860000	0.0536150000	0.0429150000	0.0000010000	0.3378650000	0.0019370000	0	0	209321984	3.8137385845	3.9989142418	3.9880647659
43	1.6800000000	0.0033309176	0.0026772945	0.0055015511	0.0034549186	0.4737820000	0.0536800000	0.0495140000	0.0319200000	0.3366970000	0.0019190000	0	0	209321984	3.8069241047	3.9993524551	3.9914381504
44	1.7200000000	0.0033258300	0.0026920339	0.0055015511	0.0034860683	0.4355610000	0.0529730000	0.0434040000	0.0000000000	0.3372130000	0.0019180000	0	0	209321984	3.8006076813	3.9986841679	3.9893238544
45	1.7600000000	0.0033450893	0.0027065463	0.0055015511	0.0035048405	0.8146120000	0.0536550000	0.0521710000	0.0319920000	0.3359440000	0.3407960000	0	0	209321984	3.7922329903	4.0006747246	3.9930381775
46	1.8000000000	0.0034082141	0.0027217999	0.0055015511	0.0035113751	0.4450670000	0.0536390000	0.0540980000	0.0000000000	0.3353490000	0.0019270000	0	0	209321984	3.7862722874	4.0012898445	3.9931361675
47	1.8400000000	0.0034266224	0.0027367961	0.0055015511	0.0036170776	0.4661870000	0.0537130000	0.0432510000	0.0320680000	0.3351680000	0.0019300000	0	0	209321984	3.7832624912	3.9994781017	3.9928357601
48	1.8800000000	0.0033781717	0.0027501581	0.0055015511	0.0036604927	0.4426990000	0.0524530000	0.0521980000	0.0000000000	0.3360610000	0.0019290000	0	0	209321984	3.7786982059	3.9991884232	3.9939424992
49	1.9200000000	0.0035794692	0.0027670828	0.0055015511	0.0036222880	0.8088490000	0.0530650000	0.0455760000	0.0320350000	0.3362380000	0.3418780000	0	0	209321984	3.7715673447	4.0004119873	3.9947512150
50	1.9600000000	0.0035761660	0.0027832645	0.0055015511	0.0036079389	0.4439190000	0.0536850000	0.0520050000	0.0000000000	0.3362450000	0.0019270000	0	0	209321984	3.7572417259	4.0000801086	3.9996907711
51	2.0000000000	0.0035184498	0.0027976799	0.0055015511	0.0035822168	0.4744260000	0.0521690000	0.0521270000	0.0319750000	0.3361550000	0.0019410000	0	0	209321984	3.7588238716	3.9999413490	3.9966940880
52	2.0400000000	0.0035658584	0.0028124526	0.0055015511	0.0035470793	0.4466610000	0.0536410000	0.0543870000	0.0000010000	0.3366180000	0.0019560000	0	0	209321984	3.7548794746	4.0003604889	3.9959802628
53	2.0800000000	0.0034984914	0.0028253967	0.0055015511	0.0035916365	0.8233800000	0.0536680000	0.0604880000	0.0322370000	0.3344500000	0.3424780000	0	0	209321984	3.7528636456	3.9979722500	3.9927272797
54	2.1200000000	0.0036599229	0.0028408509	0.0055015511	0.0036670465	0.4356950000	0.0536270000	0.0435140000	0.0000010000	0.3365480000	0.0019450000	0	0	209321984	3.7398264408	3.9965598583	3.9985260963
55	2.1600000000	0.0035320045	0.0028534173	0.0055015511	0.0037614678	0.4767950000	0.0537230000	0.0525850000	0.0320590000	0.3364000000	0.0019640000	0	0	209321984	3.7374927998	3.9971909523	3.9982166290
56	2.2000000000	0.0036828937	0.0028682294	0.0055015511	0.0037688486	0.4442970000	0.0536150000	0.0524400000	0.0000000000	0.3362750000	0.0019070000	0	0	209321984	3.7176365852	3.9976880550	4.0073919296
57	2.2400000000	0.0038219409	0.0028849612	0.0055015511	0.0037478134	0.8152500000	0.0537360000	0.0521920000	0.0321040000	0.3356930000	0.3414610000	0	0	209321984	3.7128336430	3.9951205254	4.0079889297
58	2.2800000000	0.0036937215	0.0028989053	0.0055015511	0.0037568757	0.4436940000	0.0536990000	0.0522590000	0.0000010000	0.3357220000	0.0019510000	0	0	209321984	3.7034838200	3.9942696095	4.0107660294
59	2.3200000000	0.0038727783	0.0029154116	0.0055015511	0.0038958470	0.4602640000	0.0536850000	0.0411680000	0.0320850000	0.3313890000	0.0018700000	0	0	209321984	3.6893458366	3.9967958927	4.0165219307
60	2.3600000000	0.0038597416	0.0029311505	0.0055015511	0.0040110076	0.4371320000	0.0536360000	0.0456410000	0.0000010000	0.3358620000	0.0019290000	0	0	209321984	3.6862196922	3.9950752258	4.0145807266
61	2.4000000000	0.0038700569	0.0029465424	0.0055015511	0.0041278623	0.8144560000	0.0536550000	0.0500590000	0.0321860000	0.3363170000	0.3421740000	0	0	209321984	3.6794519424	3.9935913086	4.0143718719
62	2.4400000000	0.0038843427	0.0029616682	0.0055015511	0.0042928835	0.4430120000	0.0540070000	0.0500940000	0.0000010000	0.3369140000	0.0019340000	0	0	209321984	3.6557705402	3.9940500259	4.0246839523
63	2.4800000000	0.0039063301	0.0029766628	0.0055015511	0.0044369082	0.4764170000	0.0536190000	0.0518760000	0.0322420000	0.3366680000	0.0019480000	0	0	209321984	3.6470942497	3.9929685593	4.0258569717
64	2.5200000000	0.0039120424	0.0029912781	0.0055015511	0.0047971170	0.4453510000	0.0536530000	0.0522010000	0.0000010000	0.3375320000	0.0019030000	0	0	209321984	3.6345658302	3.9940986633	4.0304179192
65	2.5600000000	0.0039092205	0.0030054003	0.0055015511	0.0051042168	0.8188010000	0.0536130000	0.0523660000	0.0322660000	0.3372720000	0.3432170000	0	0	209321984	3.6207087040	3.9939813614	4.0341448784
66	2.6000000000	0.0040721400	0.0030215630	0.0055015511	0.0051951018	0.4371530000	0.0536630000	0.0430460000	0.0000010000	0.3384380000	0.0019410000	0	0	209321984	3.6102135181	3.9952826500	4.0361313820
67	2.6400000000	0.0041016834	0.0030376842	0.0055015511	0.0052462365	0.4803310000	0.0536920000	0.0544130000	0.0323070000	0.3379370000	0.0019120000	0	0	209321984	3.6000037193	3.9977262020	4.0384044647
68	2.6800000000	0.0043081949	0.0030563682	0.0055015511	0.0052293981	0.4464930000	0.0536540000	0.0520910000	0.0000000000	0.3387500000	0.0019230000	0	0	209321984	3.5890214443	3.9976375103	4.0377349854
69	2.7200000000	0.0043247179	0.0030747501	0.0055015511	0.0051927484	0.8207840000	0.0536570000	0.0519060000	0.0323290000	0.3382080000	0.3446150000	0	0	209321984	3.5794913769	3.9978690147	4.0422301292
70	2.7600000000	0.0044273194	0.0030940725	0.0055015511	0.0051651205	0.4451390000	0.0522410000	0.0517910000	0.0000000000	0.3391230000	0.0019190000	0	0	209321984	3.5706284046	3.9997220039	4.0418829918
71	2.8000000000	0.0044263359	0.0031128368	0.0055015511	0.0052162421	0.4676460000	0.0522370000	0.0427140000	0.0324690000	0.3382740000	0.0018850000	0	0	209321984	3.5634377003	4.0003209114	4.0388045311
72	2.8400000000	0.0047300691	0.0031352984	0.0055015511	0.0058997149	0.4452300000	0.0522260000	0.0523750000	0.0000000000	0.3386330000	0.0019240000	0	0	209321984	3.5476479530	4.0055451393	4.0417685509
73	2.8800000000	0.0047880821	0.0031579392	0.0055015511	0.0059716832	0.8213330000	0.0537050000	0.0508540000	0.0325980000	0.3381000000	0.3460030000	0	0	209321984	3.5377209187	4.0069355965	4.0434455872
74	2.9200000000	0.0048688161	0.0031810592	0.0055015511	0.0060621741	0.4430080000	0.0536940000	0.0532000000	0.0000010000	0.3342110000	0.0018330000	0	0	209321984	3.5356769562	4.0086240768	4.0402965546
75	2.9600000000	0.0050445120	0.0032059052	0.0055015511	0.0061161720	0.4796530000	0.0536740000	0.0530790000	0.0326380000	0.3383130000	0.0018750000	0	0	209321984	3.5345199108	4.0122652054	4.0375251770
76	3.0000000000	0.0050753532	0.0032305032	0.0055015511	0.0061503616	0.4458050000	0.0536280000	0.0504390000	0.0000010000	0.3397950000	0.0018710000	0	0	209321984	3.5365347862	4.0153913498	4.0294241905
77	3.0400000000	0.0048940112	0.0032521072	0.0055015511	0.0061735359	0.8140910000	0.0536620000	0.0413120000	0.0331890000	0.3371970000	0.3486560000	0	0	209321984	3.5357229710	4.0158758163	4.0226511955
78	3.0800000000	0.0045078169	0.0032682061	0.0055015511	0.0061426588	0.4461900000	0.0536510000	0.0497810000	0.0000010000	0.3408100000	0.0018740000	0	0	209321984	3.5368659496	4.0172095299	4.0154652596
79	3.1200000000	0.0043801977	0.0032822819	0.0055015511	0.0061045546	0.4733920000	0.0536330000	0.0434400000	0.0329600000	0.3414390000	0.0018480000	0	0	209321984	3.5297675133	4.0203051567	4.0133032799
80	3.1600000000	0.0041195103	0.0032927473	0.0055015511	0.0060691229	0.4495130000	0.0536170000	0.0518560000	0.0000010000	0.3421270000	0.0018380000	0	0	209321984	3.5258750916	4.0231771469	4.0096049309
81	3.2000000000	0.0041722963	0.0033036059	0.0055015511	0.0060410938	0.8805430000	0.0536490000	0.1000180000	0.0330880000	0.3410260000	0.3526880000	0	0	209321984	3.5140287876	4.0221834183	4.0126156807
82	3.2400000000	0.0044058184	0.0033170475	0.0055015511	0.0060492234	0.4546400000	0.0536720000	0.0576870000	0.0000000000	0.3413920000	0.0018170000	0	0	209321984	3.5058395863	4.0223259926	4.0121946335
83	3.2800000000	0.0043075490	0.0033289813	0.0055015511	0.0060867384	0.4726360000	0.0537350000	0.0427080000	0.0333030000	0.3410430000	0.0017710000	0	0	209321984	3.4979178905	4.0244045258	4.0090570450
84	3.3200000000	0.0042933626	0.0033404620	0.0055015511	0.0060776027	0.4484610000	0.0537850000	0.0511110000	0.0000010000	0.3416910000	0.0017990000	0	0	209321984	3.4851734638	4.0234212875	4.0093340874
85	3.3600000000	0.0045061954	0.0033541765	0.0055015511	0.0060684310	0.8406600000	0.0537790000	0.0567490000	0.0335010000	0.3409390000	0.3556140000	0	0	209321984	3.4719917774	4.0243120193	4.0097441673
86	3.4000000000	0.0045118984	0.0033676384	0.0055015511	0.0061073249	0.4478650000	0.0538370000	0.0506000000	0.0000000000	0.3415460000	0.0018070000	0	0	209321984	3.4569852352	4.0252122879	4.0138039589
87	3.4400000000	0.0041984711	0.0033771882	0.0055015511	0.0062320287	0.4889530000	0.0538170000	0.0585860000	0.0336330000	0.3410420000	0.0018010000	0	0	209321984	3.4468982220	4.0239338875	4.0134758949
88	3.4800000000	0.0038761455	0.0033828582	0.0055015511	0.0063827156	0.4392170000	0.0537890000	0.0419690000	0.0000010000	0.3416210000	0.0017610000	0	0	209321984	3.4334392548	4.0241994858	4.0137124062
89	3.5200000000	0.0040151877	0.0033899630	0.0055015511	0.0065287073	0.8395430000	0.0523710000	0.0555910000	0.0335150000	0.3402630000	0.3577260000	0	0	209321984	3.4244003296	4.0244159698	4.0138211250
90	3.5600000000	0.0044031981	0.0034012211	0.0055015511	0.0066375798	0.4450980000	0.0537560000	0.0478630000	0.0000000000	0.3416410000	0.0017610000	0	0	209321984	3.4174854755	4.0226683617	4.0125918388
91	3.6000000000	0.0041566924	0.0034095230	0.0055015511	0.0066781095	0.4774760000	0.0537530000	0.0472920000	0.0340040000	0.3405600000	0.0017880000	0	0	209321984	3.4026193619	4.0213522911	4.0156269073
92	3.6400000000	0.0042276653	0.0034184159	0.0055015511	0.0066900431	0.4442580000	0.0538400000	0.0472640000	0.0000010000	0.3412880000	0.0017850000	0	0	209321984	3.3875219822	4.0234832764	4.0208239555
93	3.6800000000	0.0041637290	0.0034264300	0.0055015511	0.0066694310	0.8350670000	0.0537670000	0.0471730000	0.0341380000	0.3408520000	0.3590560000	0	0	209321984	3.3825414181	4.0226359367	4.0174231529
94	3.7200000000	0.0040693246	0.0034332693	0.0055015511	0.0066415418	0.4523580000	0.0538400000	0.0552750000	0.0000000000	0.3413860000	0.0017760000	0	0	209321984	3.3752577305	4.0201745033	4.0169801712
95	3.7600000000	0.0041937376	0.0034412742	0.0055015511	0.0066270330	0.4795970000	0.0537850000	0.0492050000	0.0342220000	0.3405200000	0.0017820000	0	0	209321984	3.3623626232	4.0215334892	4.0235376358
96	3.8000000000	0.0041481135	0.0034486371	0.0055015511	0.0065993321	0.4513940000	0.0538050000	0.0552810000	0.0000000000	0.3405050000	0.0017190000	0	0	209321984	3.3520479202	4.0210266113	4.0231170654
97	3.8400000000	0.0042966479	0.0034573795	0.0055015511	0.0065655555	0.8374980000	0.0538760000	0.0489610000	0.0341630000	0.3404530000	0.3599630000	0	0	209321984	3.3467411995	4.0183119774	4.0250158310
98	3.8800000000	0.0042435187	0.0034654013	0.0055015511	0.0065401576	0.4419730000	0.0537670000	0.0470480000	0.0000010000	0.3393670000	0.0017030000	0	0	209321984	3.3321287632	4.0176334381	4.0290899277
99	3.9200000000	0.0043203272	0.0034740370	0.0055015511	0.0065129732	0.4729680000	0.0523360000	0.0488510000	0.0343760000	0.3355980000	0.0017210000	0	0	209321984	3.3266921043	4.0190477371	4.0322299004
100	3.9600000000	0.0044253892	0.0034835505	0.0055015511	0.0064802173	0.4408590000	0.0537700000	0.0471190000	0.0000000000	0.3381830000	0.0017050000	0	0	209321984	3.3185496330	4.0186219215	4.0362696648
101	4.0000000000	0.0041726893	0.0034903736	0.0055015511	0.0064505334	0.8509340000	0.0538730000	0.0629430000	0.0343370000	0.3395800000	0.3601170000	0	0	209321984	3.3094899654	4.0169072151	4.0422902107
102	4.0400000000	0.0041463682	0.0034968050	0.0055015511	0.0064299249	0.4421620000	0.0538280000	0.0468270000	0.0000000000	0.3396560000	0.0017660000	0	0	209321984	3.3058989048	4.0154061317	4.0439100266
103	4.0800000000	0.0041686101	0.0035033273	0.0055015511	0.0063992467	0.4760960000	0.0537660000	0.0469830000	0.0343520000	0.3391480000	0.0017610000	0	0	209321984	3.2951936722	4.0149874687	4.0505418777
104	4.1200000000	0.0042536259	0.0035105418	0.0055015511	0.0063736932	0.4414460000	0.0537470000	0.0470540000	0.0000010000	0.3388030000	0.0017560000	0	0	209321984	3.2826068401	4.0132412910	4.0633516312
105	4.1600000000	0.0042670611	0.0035177467	0.0055015511	0.0063732737	0.8330420000	0.0527030000	0.0485150000	0.0344250000	0.3383800000	0.3589310000	0	0	209321984	3.2798745632	4.0129694939	4.0651140213
106	4.2000000000	0.0042519546	0.0035246732	0.0055015511	0.0063807497	0.4432140000	0.0537220000	0.0491190000	0.0000010000	0.3385450000	0.0017440000	0	0	209321984	3.2734243870	4.0136265755	4.0701704025
107	4.2400000000	0.0043523684	0.0035324087	0.0055015511	0.0063642840	0.4751460000	0.0537160000	0.0465840000	0.0345670000	0.3383790000	0.0018100000	0	0	209321984	3.2732272148	4.0103826523	4.0664892197
108	4.2800000000	0.0040824749	0.0035375019	0.0055015511	0.0063355006	0.4414270000	0.0523260000	0.0488030000	0.0000010000	0.3384460000	0.0017640000	0	0	209321984	3.2631123066	4.0093379021	4.0749449730
109	4.3200000000	0.0042370302	0.0035439196	0.0055015511	0.0063172163	0.8385750000	0.0537070000	0.0543150000	0.0345400000	0.3378820000	0.3580400000	0	0	209321984	3.2616040707	4.0093727112	4.0760278702
110	4.3600000000	0.0045651752	0.0035532037	0.0055015511	0.0063272372	0.4408520000	0.0536580000	0.0468700000	0.0000000000	0.3384690000	0.0017680000	0	0	209321984	3.2542734146	4.0088281631	4.0843935013
111	4.4000000000	0.0043248455	0.0035601554	0.0055015511	0.0063263718	0.4815670000	0.0536620000	0.0543840000	0.0346340000	0.3370660000	0.0017320000	0	0	209321984	3.2475299835	4.0074939728	4.0910854340
112	4.4400000000	0.0043372642	0.0035670939	0.0055015511	0.0063277155	0.4390420000	0.0536530000	0.0465740000	0.0000010000	0.3369300000	0.0017930000	0	0	209321984	3.2396156788	4.0080847740	4.0989565849
113	4.4800000000	0.0044071907	0.0035745284	0.0055015511	0.0063347246	0.8285930000	0.0537730000	0.0479500000	0.0344190000	0.3334200000	0.3589390000	0	0	209321984	3.2355160713	4.0079350471	4.1031627655
114	4.5200000000	0.0044070743	0.0035818314	0.0055015511	0.0063809577	0.4387930000	0.0536730000	0.0466570000	0.0000010000	0.3366090000	0.0017640000	0	0	209321984	3.2246799469	4.0078353882	4.1154494286
115	4.5600000000	0.0044499314	0.0035893801	0.0055015511	0.0064042073	0.4719660000	0.0537190000	0.0460480000	0.0349080000	0.3354340000	0.0017610000	0	0	209321984	3.2240977287	4.0077090263	4.1172904968
116	4.6000000000	0.0044587501	0.0035968747	0.0055015511	0.0064448155	0.4321400000	0.0536650000	0.0408370000	0.0000000000	0.3357550000	0.0017890000	0	0	209321984	3.2136869431	4.0103359222	4.1293349266
117	4.6400000000	0.0045406483	0.0036049411	0.0055015511	0.0064524190	0.8202530000	0.0536970000	0.0406040000	0.0349260000	0.3339090000	0.3570230000	0	0	209321984	3.2061164379	4.0132846832	4.1397881508
118	4.6800000000	0.0045140842	0.0036126457	0.0055015511	0.0064252216	0.4345910000	0.0536570000	0.0484600000	0.0000010000	0.3306640000	0.0017180000	0	0	209321984	3.2004292011	4.0117287636	4.1439862251
